 ========================================================================
 Mesh information:
 Nx = 101
 Ny =  21
  
 Slab / Billet dimensions:
 X(m) =       1.0000
 Y(m) =       0.2000
                                                                         
                                                                         
 ========================================================================
              Time(s)   Thickness in X(m)   Thickness in Y(m)
             664.0000              0.1112              0.0740
             666.0000              0.1114              0.0743
             668.0000              0.1117              0.0746
             670.0000              0.1121              0.0750
             672.0000              0.1126              0.0751
             674.0000              0.1134              0.0752
             676.0000              0.1149              0.0752
             678.0000              0.1153              0.0753
             680.0000              0.1157              0.0754
             682.0000              0.1159              0.0755
             684.0000              0.1160              0.0756
             686.0000              0.1162              0.0757
             688.0000              0.1164              0.0758
             690.0000              0.1167              0.0759
             692.0000              0.1171              0.0760
             694.0000              0.1177              0.0761
             696.0000              0.1186              0.0761
             698.0000              0.1201              0.0762
             700.0000              0.1204              0.0763
             702.0000              0.1208              0.0764
             704.0000              0.1210              0.0764
             706.0000              0.1212              0.0765
             708.0000              0.1214              0.0765
             710.0000              0.1216              0.0766
             712.0000              0.1220              0.0767
             714.0000              0.1226              0.0768
             716.0000              0.1235              0.0768
             718.0000              0.1250              0.0769
             720.0000              0.1254              0.0770
             722.0000              0.1259              0.0771
             724.0000              0.1261              0.0772
             726.0000              0.1262              0.0773
             728.0000              0.1265              0.0774
             730.0000              0.1268              0.0775
             732.0000              0.1273              0.0777
             734.0000              0.1280              0.0778
             736.0000              0.1293              0.0780
             738.0000              0.1303              0.0781
             740.0000              0.1307              0.0783
             742.0000              0.1311              0.0785
             744.0000              0.1313              0.0788
             746.0000              0.1315              0.0790
             748.0000              0.1319              0.0793
             750.0000              0.1324              0.0797
             752.0000              0.1332              0.0800
             754.0000              0.1347              0.0801
             756.0000              0.1354              0.0802
             758.0000              0.1359              0.0803
             760.0000              0.1362              0.0804
             762.0000              0.1364              0.0805
             764.0000              0.1368              0.0806
             766.0000              0.1372              0.0807
             768.0000              0.1380              0.0808
             770.0000              0.1394              0.0809
             772.0000              0.1404              0.0810
             774.0000              0.1409              0.0811
             776.0000              0.1413              0.0812
             778.0000              0.1416              0.0813
             780.0000              0.1419              0.0814
             782.0000              0.1425              0.0815
             784.0000              0.1435              0.0816
             786.0000              0.1451              0.0816
             788.0000              0.1457              0.0817
             790.0000              0.1463              0.0818
             792.0000              0.1466              0.0819
             794.0000              0.1469              0.0820
             796.0000              0.1475              0.0821
             798.0000              0.1485              0.0822
             800.0000              0.1501              0.0823
             802.0000              0.1508              0.0824
             804.0000              0.1514              0.0826
