 ========================================================================
 Mesh information:
 Nx = 101
 Ny =  21
  
 Slab / Billet dimensions:
 X(m) =       1.0000
 Y(m) =       0.2000
                                                                         
                                                                         
 ========================================================================
              Time(s)   Thickness in X(m)   Thickness in Y(m)
             788.0000              0.1463              0.0813
             790.0000              0.1466              0.0814
             792.0000              0.1471              0.0815
             794.0000              0.1480              0.0816
             796.0000              0.1503              0.0817
             798.0000              0.1510              0.0818
             800.0000              0.1512              0.0819
             802.0000              0.1514              0.0821
             804.0000              0.1517              0.0823
             806.0000              0.1523              0.0825
             808.0000              0.1533              0.0828
             810.0000              0.1557              0.0831
             812.0000              0.1561              0.0836
             814.0000              0.1563              0.0842
             816.0000              0.1566              0.0850
             818.0000              0.1571              0.0852
             820.0000              0.1580              0.0854
             822.0000              0.1605              0.0856
             824.0000              0.1612              0.0857
             826.0000              0.1614              0.0859
             828.0000              0.1617              0.0860
             830.0000              0.1623              0.0860
             832.0000              0.1635              0.0861
             834.0000              0.1660              0.0861
             836.0000              0.1664              0.0862
             838.0000              0.1667              0.0862
             840.0000              0.1672              0.0863
             842.0000              0.1681              0.0864
             844.0000              0.1708              0.0865
             846.0000              0.1714              0.0866
             848.0000              0.1718              0.0867
             850.0000              0.1724              0.0869
             852.0000              0.1739              0.0870
             854.0000              0.1764              0.0872
             856.0000              0.1767              0.0875
             858.0000              0.1772              0.0878
             860.0000              0.1782              0.0881
             862.0000              0.1811              0.0886
             864.0000              0.1818              0.0893
             866.0000              0.1824              0.0901
             868.0000              0.1839              0.0903
             870.0000              0.1867              0.0906
             872.0000              0.1871              0.0908
             874.0000              0.1880              0.0911
             876.0000              0.1912              0.0912
             878.0000              0.1922              0.0913
             880.0000              0.1932              0.0914
             882.0000              0.1965              0.0915
             884.0000              0.1976              0.0916
             886.0000              0.1997              0.0918
             888.0000              0.2025              0.0920
             890.0000              0.2040              0.0922
             892.0000              0.2076              0.0925
             894.0000              0.2098              0.0929
             896.0000              0.2134              0.0935
             898.0000              0.2173              0.0943
             900.0000              0.2216              0.0954
